,datetime,number,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,time_to_last_update
0,2023-12-15 19:01:58,59,LIDL BEŽIGRAD,Bežigrad 11,False,False,20,19,1,OPEN,2023-12-15 17:57:36,3862.0
1,2023-12-15 19:01:58,54,ŠMARTINSKI PARK,Smartinska cesta 58,False,False,20,7,13,OPEN,2023-12-15 17:58:52,3786.0
2,2023-12-15 19:01:58,45,SAVSKO NASELJE 1-ŠMARTINSKA CESTA,Savska cesta 1,False,False,20,20,0,OPEN,2023-12-15 17:59:17,3761.0
3,2023-12-15 19:01:58,68,ČRNUČE,Dunajska cesta,False,False,20,17,3,OPEN,2023-12-15 17:55:21,3997.0
4,2023-12-15 19:01:58,11,VILHARJEVA CESTA,Vilharjeva cesta 23,False,False,20,2,18,OPEN,2023-12-15 17:57:50,3848.0
5,2023-12-15 19:01:58,10,MASARYKOVA DDC,Masarykova cesta 14,False,False,18,14,4,OPEN,2023-12-15 17:59:16,3762.0
6,2023-12-15 19:01:58,2,POGAČARJEV TRG-TRŽNICA,Pogačarjev trg 3,False,False,18,0,18,OPEN,2023-12-15 17:58:02,3836.0
7,2023-12-15 19:01:58,4,CANKARJEVA UL.-NAMA,Cankarjeva cesta 1,False,False,26,17,9,OPEN,2023-12-15 18:00:47,3671.0
8,2023-12-15 19:01:58,41,ANTONOV TRG,Tržaška 91,False,False,20,13,7,OPEN,2023-12-15 17:58:00,3838.0
9,2023-12-15 19:01:58,73,PRUŠNIKOVA,Prušnikova ulica,False,False,20,15,5,OPEN,2023-12-15 17:55:32,3986.0
10,2023-12-15 19:01:58,76,TEHNOLOŠKI PARK,Tehnološki park,False,False,20,15,5,OPEN,2023-12-15 17:55:20,3998.0
11,2023-12-15 19:01:58,66,KOSEŠKI BAJER,Koseška cesta,False,False,20,14,6,OPEN,2023-12-15 17:52:43,4155.0
12,2023-12-15 19:01:58,19,TIVOLI,Celovška cesta 26,False,False,20,8,12,OPEN,2023-12-15 17:57:58,3840.0
13,2023-12-15 19:01:58,25,TRŽNICA MOSTE,Zaloška cesta 54,False,False,21,12,9,OPEN,2023-12-15 17:57:36,3862.0
14,2023-12-15 19:01:58,6,GRUDNOVO NABREŽJE-KARLOVŠKA C.,Grudnovo nabrežje 3,False,False,18,18,0,OPEN,2023-12-15 17:58:19,3819.0
15,2023-12-15 19:01:58,51,LIDL-LITIJSKA CESTA,Litijska cesta 53,False,False,20,14,6,OPEN,2023-12-15 17:56:43,3915.0
16,2023-12-15 19:01:58,31,ŠPORTNI CENTER STOŽICE,Vojkova cesta 91,False,False,26,11,15,OPEN,2023-12-15 17:54:34,4044.0
17,2023-12-15 19:01:58,22,ŠPICA,Prule 8,False,False,18,12,6,OPEN,2023-12-15 17:59:14,3764.0
18,2023-12-15 19:01:58,80,ROŠKA - STRELIŠKA,Roška cesta,False,False,20,15,5,OPEN,2023-12-15 17:56:05,3953.0
19,2023-12-15 19:01:58,8,BAVARSKI DVOR,Slovenska cesta 55c,False,False,20,5,15,OPEN,2023-12-15 17:59:19,3759.0
20,2023-12-15 19:01:58,20,STARA CERKEV,Celovška cesta 69,False,False,14,0,14,OPEN,2023-12-15 17:57:31,3867.0
21,2023-12-15 19:01:58,46,SITULA,Vilharjeva cesta 44,False,False,20,19,1,OPEN,2023-12-15 17:59:36,3742.0
22,2023-12-15 19:01:58,17,ILIRSKA ULICA,Ilirska ulica 1,False,False,18,16,2,OPEN,2023-12-15 17:57:38,3860.0
23,2023-12-15 19:01:58,72,LIDL - RUDNIK,Betettova cesta,False,False,20,12,8,OPEN,2023-12-15 17:54:10,4068.0
24,2023-12-15 19:01:58,64,KOPALIŠČE KOLEZIJA,Gunduličeva ulica,False,False,20,20,0,OPEN,2023-12-15 17:55:43,3975.0
25,2023-12-15 19:01:58,74,POVŠETOVA - KAJUHOVA,Povšetova - Kajuhova,False,False,20,13,7,OPEN,2023-12-15 17:55:54,3964.0
26,2023-12-15 19:01:58,29,DUNAJSKA C.-PS MERCATOR,Dunajska cesta 105,False,False,18,15,3,OPEN,2023-12-15 17:57:30,3868.0
27,2023-12-15 19:01:58,34,CITYPARK,Citypark - Šmartinska 152 g,False,False,20,8,11,OPEN,2023-12-15 17:55:17,4001.0
28,2023-12-15 19:01:58,32,KOPRSKA ULICA,Koprska ulica 98,False,False,8,4,4,OPEN,2023-12-15 17:58:38,3800.0
29,2023-12-15 19:01:58,30,LIDL - VOJKOVA CESTA,,False,False,20,16,4,OPEN,2023-12-15 17:57:19,3879.0
30,2023-12-15 19:01:58,55,POLJANSKA-POTOČNIKOVA,Poljanska cesta 50,False,False,20,12,8,OPEN,2023-12-15 17:58:06,3832.0
31,2023-12-15 19:01:58,57,POVŠETOVA-GRABLOVIČEVA,Grabloviceva ulica 60,False,False,19,14,5,OPEN,2023-12-15 18:00:21,3697.0
