,number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position_lat,position_lon,num_bus_stations,num_cafes,num_school_stuff,num_restaurants,num_health_stuff,num_culture_stuff
0,59,ljubljana,LIDL BEŽIGRAD,Bežigrad 11,False,False,20,19,1,OPEN,1702663056000,46.063797,14.506854,13,3,0,8,3,2
1,54,ljubljana,ŠMARTINSKI PARK,Smartinska cesta 58,False,False,20,7,13,OPEN,1702663132000,46.065206,14.529911,16,3,2,5,1,0
2,45,ljubljana,SAVSKO NASELJE 1-ŠMARTINSKA CESTA,Savska cesta 1,False,False,20,20,0,OPEN,1702663157000,46.062475,14.524321,11,2,2,4,2,0
3,68,ljubljana,ČRNUČE,Dunajska cesta,False,False,20,17,3,OPEN,1702662921000,46.102446,14.530213,7,2,1,3,3,0
4,11,ljubljana,VILHARJEVA CESTA,Vilharjeva cesta 23,False,False,20,2,18,OPEN,1702663070000,46.06005,14.51302,13,22,0,16,4,2
5,10,ljubljana,MASARYKOVA DDC,Masarykova cesta 14,False,False,18,14,4,OPEN,1702663156000,46.05763,14.514264,10,23,1,20,3,1
6,2,ljubljana,POGAČARJEV TRG-TRŽNICA,Pogačarjev trg 3,False,False,18,0,18,OPEN,1702663082000,46.051093,14.507186,13,83,2,109,3,2
7,4,ljubljana,CANKARJEVA UL.-NAMA,Cankarjeva cesta 1,False,False,26,17,9,OPEN,1702663247000,46.052431,14.503257,17,71,3,74,4,1
8,41,ljubljana,ANTONOV TRG,Tržaška 91,False,False,20,13,7,OPEN,1702663080000,46.041753,14.477016,8,10,2,8,2,0
9,73,ljubljana,PRUŠNIKOVA,Prušnikova ulica,False,False,20,15,5,OPEN,1702662932000,46.090608,14.471637,7,4,0,0,2,0
10,76,ljubljana,TEHNOLOŠKI PARK,Tehnološki park,False,False,20,15,5,OPEN,1702662920000,46.04843,14.461086,7,1,0,1,0,0
11,66,ljubljana,KOSEŠKI BAJER,Koseška cesta,False,False,20,14,6,OPEN,1702662763000,46.068443,14.470913,6,5,0,0,1,0
12,19,ljubljana,TIVOLI,Celovška cesta 26,False,False,20,8,12,OPEN,1702663078000,46.05952,14.4982,3,5,0,2,0,0
13,25,ljubljana,TRŽNICA MOSTE,Zaloška cesta 54,False,False,21,12,9,OPEN,1702663056000,46.055801,14.534156,8,7,1,5,1,1
14,6,ljubljana,GRUDNOVO NABREŽJE-KARLOVŠKA C.,Grudnovo nabrežje 3,False,False,18,18,0,OPEN,1702663099000,46.045748,14.506196,12,42,0,55,4,2
15,51,ljubljana,LIDL-LITIJSKA CESTA,Litijska cesta 53,False,False,20,14,6,OPEN,1702663003000,46.047689,14.547416,6,8,0,4,1,0
16,31,ljubljana,ŠPORTNI CENTER STOŽICE,Vojkova cesta 91,False,False,26,11,15,OPEN,1702662874000,46.08259,14.52016,3,4,0,1,2,0
17,22,ljubljana,ŠPICA,Prule 8,False,False,18,12,6,OPEN,1702663154000,46.040213,14.512044,9,5,1,1,0,0
18,80,ljubljana,ROŠKA - STRELIŠKA,Roška cesta,False,False,20,15,5,OPEN,1702662965000,46.045,14.51846,6,2,0,2,0,0
19,8,ljubljana,BAVARSKI DVOR,Slovenska cesta 55c,False,False,20,5,15,OPEN,1702663159000,46.05682,14.50551,15,33,0,38,2,2
20,20,ljubljana,STARA CERKEV,Celovška cesta 69,False,False,14,0,14,OPEN,1702663051000,46.06342,14.494588,7,7,0,3,1,0
21,46,ljubljana,SITULA,Vilharjeva cesta 44,False,False,20,19,1,OPEN,1702663176000,46.059433,14.52051,7,6,0,3,2,0
22,17,ljubljana,ILIRSKA ULICA,Ilirska ulica 1,False,False,18,16,2,OPEN,1702663058000,46.053144,14.513479,14,41,3,44,4,1
23,72,ljubljana,LIDL - RUDNIK,Betettova cesta,False,False,20,12,8,OPEN,1702662850000,46.020012,14.532479,5,2,0,4,1,0
24,64,ljubljana,KOPALIŠČE KOLEZIJA,Gunduličeva ulica,False,False,20,20,0,OPEN,1702662943000,46.042867,14.495239,10,6,2,4,5,0
25,74,ljubljana,POVŠETOVA - KAJUHOVA,Povšetova - Kajuhova,False,False,20,13,7,OPEN,1702662954000,46.051512,14.539272,8,2,0,1,0,0
26,29,ljubljana,DUNAJSKA C.-PS MERCATOR,Dunajska cesta 105,False,False,18,15,3,OPEN,1702663050000,46.074193,14.511134,7,11,0,9,3,0
27,34,ljubljana,CITYPARK,Citypark - Šmartinska 152 g,False,False,20,8,11,OPEN,1702662917000,46.068805,14.546257,13,9,0,10,5,0
28,32,ljubljana,KOPRSKA ULICA,Koprska ulica 98,False,False,8,4,4,OPEN,1702663118000,46.033408,14.482468,8,3,0,4,4,0
29,30,ljubljana,LIDL - VOJKOVA CESTA,,False,False,20,16,4,OPEN,1702663039000,46.07589,14.52011,12,4,0,4,0,0
30,55,ljubljana,POLJANSKA-POTOČNIKOVA,Poljanska cesta 50,False,False,20,12,8,OPEN,1702663086000,46.048982,14.522709,11,5,0,2,0,0
31,57,ljubljana,POVŠETOVA-GRABLOVIČEVA,Grabloviceva ulica 60,False,False,19,14,5,OPEN,1702663221000,46.051863,14.530349,9,5,0,4,2,0
32,12,ljubljana,PARK NAVJE-ŽELEZNA CESTA,Železna cesta 18,False,False,20,18,2,OPEN,1702663089000,46.06361,14.51315,12,15,0,8,5,2
33,71,ljubljana,ZALOG,Zaloška cesta,False,False,20,9,11,OPEN,1702662953000,46.06043,14.613797,2,1,1,0,1,0
34,53,ljubljana,CESTA NA ROŽNIK,Cesta na Rožnik 1,False,False,20,19,1,OPEN,1702663010000,46.053241,14.486206,5,0,0,2,1,0
35,48,ljubljana,HOFER-KAJUHOVA,Kajuhova ulica 42,False,False,20,11,9,OPEN,1702663075000,46.056405,14.540901,7,4,1,1,1,1
36,27,ljubljana,DUNAJSKA C.-PS PETROL,Dunajska cesta 50,False,False,20,18,2,OPEN,1702662952000,46.065136,14.509112,15,5,0,6,5,2
